vedpos;name;place;kolvo;placepriority;
45;Сетевое оборудование, коммутатор, Falcon Eye, FE-104-POE-S,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
46;Сетевое оборудование, коммутатор, HP, 1910-8 Switch,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
47;Сетевое оборудование, коммутатор, HP, 1920-48G,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);7;1;
48;Сетевое оборудование, коммутатор, HP, HPE 1820 24G,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
49;Сетевое оборудование, коммутатор, HP, HPE 1820 24G,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
50;Сетевое оборудование, коммутатор, HP, HPE OfficeConnect 1950, JG960A,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
51;Сетевое оборудование, коммутатор, Tenda, TEG1105PD,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
52;Сетевое оборудование, коммутатор, TP-Link, TL-SF1005P,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
53;Сетевое оборудование, коммутатор, TP-Link, TL-SF1005P,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
54;Сетевое оборудование, коммутатор, ZyXEL, GS1900-24,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
55;Сетевое оборудование, маршрутизатор (роутер), Cisco, 880,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
56;Сетевое оборудование, маршрутизатор (роутер), ZyXEL, Keenetic Extra,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
57;Сетевое оборудование, точка доступа, Ubiquiti, PowerBeam M2-400,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);3;1;
58;"Сетевое оборудование, шкаф телекоммуникационный, CABEUS, 19"" 9U,";ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
59;Система контроля, видеонаблюдение, IP камера Dahua DH-IPC-HFW2231TP-ZS,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);8;1;
60;Система контроля, видеонаблюдение, IP камера Falcon Eye FE-IPC-DL200P,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
61;Система контроля, видеонаблюдение, IP камера HiWatch DS-I122,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);9;1;
62;Система контроля, видеонаблюдение, IP камера HiWatch DS-l202,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
63;Система контроля, видеонаблюдение, видеокамера,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);5;1;
64;Система контроля, видеонаблюдение, видеорегистратор Dahua DHI-XVR5216AN-S2,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
65;Система контроля, видеонаблюдение, видеорегистратор DHI-NVR-2208-4KS2,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
66;Система контроля, видеонаблюдение, видеорегистратор DHI-NVR2104-4KS2,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
67;Система контроля, видеонаблюдение, видеорегистратор DHI-NVR4116HS-4KS2,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
68;Система контроля, видеонаблюдение, видеорегистратор DHI-NVR4216-4KS2/L,;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
69;Сканер, Canon, CanoScan LiDE 400;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
70;"Телевизор, Mystery 32"", LED";ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
71;Телефон стационарный, аппарат телефонный Panasonic KX-DT521RU;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
72;Телефон стационарный, аппарат телефонный Panasonic KX-HDV100RUB;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
73;Телефон стационарный, аппарат телефонный Panasonic KX-TS2352RU;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);2;1;
74;Телефон стационарный, аппарат телефонный Ritmix RT-320;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);3;1;
75;Телефон стационарный, системный Panasonic KX-DT521RU;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
76;Тестер кабельный, универсальный, МТ-7068;ПБ Бирюлево Офис 2 (ул.Подольских курсантов, 22Б);1;1;
77;Аппарат кассовый, Атол 30Ф, с фискальной памятью;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
78;АТС модуль расширения, Panasonic, KX-TVM50,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
79;АТС модуль расширения, АСТАРТА, iBase TDMoIP 4xE1,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
80;Дрель, -шуруповерт аккумуляторная Makita 6319DWAE,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
81;ИБП, APC, Back-UPS BR900G-RS,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
82;ИБП, APC, Back-UPS Pro 900,;Управление Офис 1 (Земляной вал, 61 стр. 2);16;1;
83;ИБП, CyberPower, OR1000ELCDRM1U,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
84;Инструмент для сетей и компьютерной техники, для заделки кабеля, Cabeus HT-3240;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
85;Клавиатура, USB Apple Magic Keyboard,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
86;Клавиатура, USB CHERRY G86-63400,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
87;Колонки для компьютерной техники, Logitech, Z-120;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
