1;Аппарат кассовый, Атол 30Ф, с фискальной памятью;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
2;АТС модуль расширения, Panasonic, KX-TVM50,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
3;АТС модуль расширения, АСТАРТА, iBase TDMoIP 4xE1,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
4;Дрель, -шуруповерт аккумуляторная Makita 6319DWAE,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
5;ИБП, CyberPower, OR1000ELCDRM1U,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
6;ИБП, APC, Back-UPS BR900G-RS,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
7;ИБП, APC, Back-UPS Pro 900,;Управление Офис 1 (Земляной вал, 61 стр. 2);14;1;
8;ИБП, APC, Back-UPS Pro 900,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
9;Инструмент для сетей и компьютерной техники, для заделки кабеля, Cabeus HT-3240;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
10;Клавиатура, USB Apple Magic Keyboard,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
11;Клавиатура, USB CHERRY G86-63400,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
12;Колонки для компьютерной техники, Logitech, Z-120;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
13;Компьютер, персональный компьютер, HP 7300 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);9;1;
14;Компьютер, персональный компьютер, Dell 3470 Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
15;Компьютер, персональный компьютер, HP 400G1PD DM Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
16;Компьютер, персональный компьютер, HP 400G1PD DM Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
17;Компьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
18;Компьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
19;Компьютер, персональный компьютер, Dell 3470-0908 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
20;Компьютер, персональный компьютер, Dell 3470-0908 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
21;Компьютер, персональный компьютер, HP 6300 i3-3220 Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
22;Компьютер, Системный блок, HP 400 ProDesk G2 MT Core i5-4590S, 4 Gb, 1 Tb, Windows 7 Pro 64-bit,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
23;Компьютер, системный блок, Dell Vostro 3671 i3-9100, 4 Gb, 1 Tb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);6;1;
24;Компьютер, системный блок, HP 600 G3 SFF ProDesk Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
25;Компьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/1000GB Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
26;Компьютер, ноутбук, Acer TravelMate P2 TMP259-G2-M-55DP Windows 10,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
27;Компьютер, персональный компьютер, HP, 500B MT Pentium , Windows 7,;Управление Офис 1 (Земляной вал, 61 стр. 2);7;1;
28;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
29;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
30;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);3;1;
31;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
32;Компьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
33;Компьютер, персональный компьютер, HP Z220 Xeon E3-1240 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
34;"Компьютер, ноутбук, Lenovo IdeaPad 3-15 15.6"" i3-1005G1, 8GB, 512 Gb SSD, Windows 10,";Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
35;Компьютер, персональный компьютер, HP 280 G1 MT Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
36;Компьютер, персональный компьютер, HP 280 G1 MT Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
37;Компьютер, системный блок, HP 6200 Pro MT Core i3-2120, 2 Gb, 500 Gb, Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);20;1;
38;Компьютер, Системный блок, HP ProDesk 600 G1 TWR Core i5-4570, 4 Gb, 500 Gb, Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
