vedpos;name;place;kolvo;placepriority;
38;Њ”“ (принтер, копир, факс), KYOCERA Ecosys M2540dn,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
39;Њ”“ (принтер, копир, факс), Ricoh MP 2014AD,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
40;Њ”“ (принтер, копир, факс), Xerox WC 7225,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
41;Џринтер, HP, LaserJet Enterprise M601dn;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
42;Џринтер, HP, LaserJet Pro M402dne;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
43;Џринтер, Xerox, Phaser 3260DNI;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
44;‘етевое оборудование, коммутатор, Dahua, DH-PFS3009-8ET-96,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
45;‘етевое оборудование, коммутатор, Falcon Eye, FE-104-POE-S,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
46;‘етевое оборудование, коммутатор, Falcon Eye, FE-104-POE-S,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
47;‘етевое оборудование, коммутатор, HP, 1910-8 Switch,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
48;‘етевое оборудование, коммутатор, HP, 1920-48G,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);7;1;
49;‘етевое оборудование, коммутатор, HP, HPE 1820 24G,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
50;‘етевое оборудование, коммутатор, HP, HPE 1820 24G,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
51;‘етевое оборудование, коммутатор, HP, HPE OfficeConnect 1950, JG960A,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
52;‘етевое оборудование, коммутатор, Tenda, TEG1105PD,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
53;‘етевое оборудование, коммутатор, TP-Link, TL-SF1005P,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
54;‘етевое оборудование, коммутатор, TP-Link, TL-SF1005P,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
55;‘етевое оборудование, коммутатор, ZyXEL, GS1900-24,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
56;‘етевое оборудование, маршрутизатор (роутер), Cisco, 880,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
57;"‘етевое оборудование, шкаф телекоммуникационный, CABEUS, 19"" 9U,";ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
58;‘истема контролЯ, видеонаблюдение, IP камера Dahua DH-IPC-HFW2231TP-ZS,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);8;1;
59;‘истема контролЯ, видеонаблюдение, IP камера Falcon Eye FE-IPC-DL200P,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
60;‘истема контролЯ, видеонаблюдение, IP камера HiWatch DS-I122,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);9;1;
61;‘истема контролЯ, видеонаблюдение, IP камера HiWatch DS-l202,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
62;‘истема контролЯ, видеонаблюдение, видеокамера,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);5;1;
63;‘истема контролЯ, видеонаблюдение, видеорегистратор Dahua DHI-XVR5216AN-S2,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
64;‘истема контролЯ, видеонаблюдение, видеорегистратор DHI-NVR-2208-4KS2,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
65;‘истема контролЯ, видеонаблюдение, видеорегистратор DHI-NVR2104-4KS2,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
66;‘истема контролЯ, видеонаблюдение, видеорегистратор DHI-NVR4116HS-4KS2,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
67;‘истема контролЯ, видеонаблюдение, видеорегистратор DHI-NVR4216-4KS2/L,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
68;‘канер, Canon, CanoScan LiDE 400;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
69;"’елевизор, Mystery 32"", LED";ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
70;’елефон стационарный, аппарат телефонный Panasonic KX-DT521RU;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
71;’елефон стационарный, аппарат телефонный Panasonic KX-HDV100RUB;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
72;’елефон стационарный, аппарат телефонный Panasonic KX-TS2352RU;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
73;’елефон стационарный, аппарат телефонный Ritmix RT-320;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);3;1;
74;’елефон стационарный, системный Panasonic KX-DT521RU;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
75;’естер кабельный, универсальный, Њ’-7068;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
76;Ђппарат кассовый, Ђтол 30”, с фискальной памЯтью;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
77;Ђ’‘ модуль расширениЯ, Panasonic, KX-TVM50,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
78;Ђ’‘ модуль расширениЯ, Ђ‘’Ђђ’Ђ, iBase TDMoIP 4xE1,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);2;1;
79;„рель, -шуруповерт аккумулЯторнаЯ Makita 6319DWAE,;“правление Ћфис 1 (‡емлЯной вал, 61 стр. 2);1;1;
